duration,freq,instrument,intensity,note_name,session_name,timestamp
0.6,523.25,piano,0.9,C5,ai_generated,260.79372239112854
0.5,659.25,piano,0.8,E5,ai_generated,260.89372239112856
0.7,783.99,piano,0.9,G5,ai_generated,260.99372239112853
0.4,880.0,flute,0.8,A5,ai_generated,261.09372239112855
0.3,783.99,flute,0.7,G5,ai_generated,261.1937223911285
0.5,659.25,flute,0.8,E5,ai_generated,261.29372239112854
0.6,523.25,violin,0.9,C5,ai_generated,261.39372239112856
0.5,587.33,violin,0.8,D5,ai_generated,261.49372239112853
0.7,659.25,violin,0.9,E5,ai_generated,261.59372239112855
0.4,698.46,trumpet,0.8,F5,ai_generated,261.6937223911285
0.6,783.99,trumpet,0.9,G5,ai_generated,261.79372239112854
0.5,880.0,piano,0.8,A5,ai_generated,261.89372239112856
0.4,783.99,piano,0.7,G5,ai_generated,261.99372239112853
0.5,698.46,piano,0.8,F5,ai_generated,262.09372239112855
0.7,659.25,guitar,0.9,E5,ai_generated,262.1937223911285
0.5,587.33,guitar,0.8,D5,ai_generated,262.29372239112854
0.8,523.25,piano,0.9,C5,ai_generated,262.39372239112856
0.6,392.0,piano,0.8,G4,ai_generated,262.49372239112853
0.5,440.0,flute,0.7,A4,ai_generated,262.59372239112855
0.6,493.88,flute,0.8,B4,ai_generated,262.6937223911285
0.7,523.25,violin,0.9,C5,ai_generated,262.79372239112854
0.5,587.33,violin,0.8,D5,ai_generated,262.89372239112856
0.6,659.25,trumpet,0.9,E5,ai_generated,262.99372239112853
0.4,698.46,trumpet,0.8,F5,ai_generated,263.09372239112855
0.7,783.99,piano,0.9,G5,ai_generated,263.1937223911285
0.5,880.0,piano,0.8,A5,ai_generated,263.29372239112854
0.4,783.99,piano,0.7,G5,ai_generated,263.39372239112856
0.5,698.46,guitar,0.8,F5,ai_generated,263.49372239112853
0.6,659.25,guitar,0.9,E5,ai_generated,263.59372239112855
0.7,587.33,violin,0.8,D5,ai_generated,263.6937223911285
1.0,523.25,piano,0.9,C5,ai_generated,263.79372239112854
